Municipio,Circunscripcion,Recinto,Sector,Colegios
SANTO DOMINGO ESTE,3,ESCUELA MARlA CRISTINA DE LEÓN THEN,VILLA ESFUERZO EL ALMIRANTE,1722 1742 2005 2112 2159 2297
SANTO DOMINGO ESTE,3,ESCUELA RURAL RIVIERA DEL CARIBE,RIVIERA DEL CARIBE,1967 2213
SANTO DOMINGO ESTE,2,LICEO CELESTE ARGENTINA BELTRÉ MELO,CANCINO VIEJO,1623 1623A 1623B 1671 1671A 1671B 1951 2108 2272
SANTO DOMINGO ESTE,3,MULTIUSO LIC. HÉCTOR VALDEZ ALBIZU,RES. LA MONEDA AUTOPISTA SAN ISIDRO,1724 1782 1881 1926 1981 2128 2160 2228 2321 2342
SANTO DOMINGO ESTE,1,PARQUEO SUPERMERCADO HIPER UNO,ISABELITA,1336 1336A 1336B 1577 1577A 2130 2282
SANTO DOMINGO ESTE,2,CENTRO EDUCATIVO FEDERICO LLINAS,LOS MINA NUEVO,0926 0926A 0926B 0948 0948A 0949 0949A 0949B 2059
SANTO DOMINGO ESTE,2,ESCUELA PRIMARIA ANTONIA REYES,Vietnam ( San Lorenzo de Los Minas ),1313 1313A 1313B 1313C 2364
SANTO DOMINGO ESTE,1,TERMINAL DE AUTOBUSES DEL PARQUE DEL ESTE,RES. PARQUE DEL ESTE,1966 2190
SANTO DOMINGO ESTE,1,CLUB DEPORTIVO Y CULTURAL LOS MAMEYES,LOS MAMEYES,1069 1069A 1069B 1069C 1972
SANTO DOMINGO ESTE,0,ESCUELA INSTITUTO ELDA REYES MUÑOZ,SAN LUIS,1156 1156A 1157 1157A 1158 1158A 1159 1159A 1160 1160A 1161 1161A 1162 1162A 1163 1163A 1163B 1824 1849 1902 2045 2095 2354
